Before Fix Temp (C), Before Fix RT/R25,, MF Temp (C),MF RT/R25,,After Fix 1 Temp (C),After Fix 1 RT/R25,,After Fix 2 Temp (C),After Fix 2 RT/R25,,HG 1 Temp (C),HG 1 RT/R25,,HG 2 Temp (C),HG 2 RT/R25
42.7,0.2394,,5,2.7994,,61.1,0.191489362,,59.8,0.236170213,,22.1,1.07888707,,62.3,0.323191489
41.9,0.2479,,10,2.1406,,59.5,0.219148936,,57,0.282978723,,22.3,1.073404255,,61.8,0.325531915
41.2,0.2553,,15,1.6492,,58.3,0.242553191,,54.1,0.321276596,,22.6,1.068723404,,61.2,0.33
40.6,0.2638,,20,1.2798,,57,0.265957447,,52.5,0.35106383,,22.8,1.063191489,,61,0.333191489
40.1,0.2702,,25,1,,56.6,0.282978723,,51,0.387234043,,23.2,1.055319149,,60.5,0.338297872
39.5,0.2787,,30,0.78663,,54,0.314893617,,48,0.414893617,,23.7,1.043617021,,59.5,0.339361702
38.7,0.2851,,35,0.62277,,47.8,0.393617021,,47,0.446808511,,24.2,1.024680851,,59.2,0.344255319
38.1,0.2915,,40,0.4961,,46.2,0.410638298,,45.1,0.461702128,,24.6,1.013829787,,58.3,0.35
37.6,0.2979,,45,0.39757,,45.2,0.425531915,,43.7,0.472340426,,24.9,1.003404255,,56.6,0.355744681
36.7,0.3053,,50,0.32044,,44.1,0.440425532,,42.6,0.487234043,,25,0.991914894,,54.8,0.36893617
36.3,0.3106,,55,0.2597,,43,0.455319149,,41.8,0.49787234,,25.4,0.985531915,,53.1,0.380425532
35.9,0.3149,,60,0.21161,,42.1,0.465957447,,40.8,0.508510638,,26.3,0.932765957,,52.2,0.39
35.5,0.3181,,100,0.048769,,41.5,0.478723404,,40.5,0.517021277,,26.8,0.898510638,,49.3,0.409787234
35.1,0.3234,,150,0.011033,,40.5,0.495744681,,39.9,0.525531915,,27.4,0.859148936,,47.6,0.423829787
34.8,0.3262,,,,,40,0.506382979,,39.3,0.531914894,,27.9,0.832765957,,46.1,0.437234043
34.5,0.3298,,,,,39.4,0.514893617,,38.8,0.538297872,,28.9,0.807446809,,43.4,0.461276596
34.4,0.3319,,,,,39,0.521276596,,38.3,0.544680851,,29.1,0.795531915,,41.8,0.481702128
34.2,0.334,,,,,38.7,0.527659574,,37.9,0.55106383,,30.2,0.778510638,,39.6,0.509148936
,,,,,,38.2,0.536170213,,37.5,0.557446809,,32.4,0.728510638,,37.8,0.535319149
,,,,,,37.7,0.542553191,,37.2,0.563829787,,33.7,0.697446809,,35.8,0.572553191
,,,,,,37.4,0.54893617,,36.9,0.568085106,,34.6,0.684468085,,34.1,0.618510638
,,,,,,37.1,0.555319149,,36.5,0.572340426,,35.9,0.66212766,,33.5,0.637234043
,,,,,,36.8,0.561702128,,,,,37.7,0.629787234,,32.6,0.659361702
,,,,,,,,,,,,39,0.619148936,,,
,,,,,,,,,,,,41,0.583404255,,,
,,,,,,,,,,,,43.4,0.550638298,,,
,,,,,,,,,,,,44.5,0.541276596,,,
,,,,,,,,,,,,46.3,0.516170213,,,
,,,,,,,,,,,,47.1,0.505106383,,,
,,,,,,,,,,,,48.8,0.487659574,,,
,,,,,,,,,,,,49.8,0.473404255,,,
,,,,,,,,,,,,50.6,0.453829787,,,
,,,,,,,,,,,,51.5,0.441914894,,,
,,,,,,,,,,,,52.3,0.427021277,,,
,,,,,,,,,,,,53.6,0.416595745,,,
,,,,,,,,,,,,54.7,0.402553191,,,
,,,,,,,,,,,,55.3,0.388510638,,,
,,,,,,,,,,,,56.1,0.379787234,,,
,,,,,,,,,,,,56.6,0.372340426,,,
,,,,,,,,,,,,57.4,0.36212766,,,
,,,,,,,,,,,,58.3,0.346808511,,,
,,,,,,,,,,,,58.7,0.335531915,,,
,,,,,,,,,,,,59.2,0.327234043,,,
,,,,,,,,,,,,59.6,0.318510638,,,
,,,,,,,,,,,,60.3,0.308510638,,,
